"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.570514250E0,1.184699064E-1,-3.332988936E-1,1.181190187E-1,3.729281080E-1
1.580538250E0,1.191839246E-1,-2.803141297E-1,1.038085431E-1,3.218027855E-1
1.590562250E0,1.349008565E-1,-2.337263659E-1,1.272535390E-1,2.983617240E-1
1.600585250E0,1.359196699E-1,-2.165212993E-1,1.580876613E-1,3.005783398E-1
1.610609250E0,1.390561529E-1,-2.024143068E-1,1.776559532E-1,3.031003183E-1
1.620633250E0,1.479843030E-1,-1.498921307E-1,1.473779011E-1,2.570744066E-1
1.630657250E0,1.295288185E-1,-6.388287753E-2,6.233833551E-2,1.573048154E-1
1.640681250E0,8.385210570E-2,2.711953238E-2,-1.396081209E-2,8.922751224E-2
1.650705250E0,2.475397276E-2,1.226398665E-1,-4.134917021E-2,1.317689262E-1
1.660729250E0,-6.456438879E-2,2.106140035E-1,-6.553149998E-2,2.298286236E-1
1.670753250E0,-1.609563601E-1,2.605036899E-1,-1.055393189E-1,3.238945356E-1
1.680776250E0,-2.330249193E-1,2.751148586E-1,-1.355250102E-1,3.851698675E-1
1.690800250E0,-2.882363760E-1,2.778186111E-1,-1.479140908E-1,4.267809360E-1
1.700824250E0,-3.155123579E-1,2.712648325E-1,-1.305642325E-1,4.360959484E-1
1.710848250E0,-3.967734162E-1,2.277592092E-1,-1.105597383E-1,4.706663966E-1
1.720872250E0,-4.756901795E-1,1.728910571E-1,-8.573889256E-2,5.133455193E-1
1.730896250E0,-5.407073803E-1,1.173178770E-1,-5.884520888E-2,5.564087652E-1
1.740920250E0,-5.857203793E-1,1.957332782E-1,-1.355811435E-1,6.322674477E-1
1.750943250E0,-6.426793130E-1,3.368682533E-1,-2.171445394E-1,7.574091829E-1
1.760967250E0,-6.843368507E-1,3.944840851E-1,-1.897976965E-1,8.123778580E-1
1.770991250E0,-7.126288960E-1,3.547676037E-1,-1.565001422E-1,8.112905093E-1
1.781015250E0,-6.931407841E-1,2.095791925E-1,-1.149492431E-1,7.331990950E-1
1.791039250E0,-6.454058696E-1,2.047709540E-2,-9.213867009E-2,6.522710959E-1
1.801063250E0,-5.934053748E-1,-1.218068576E-1,-1.389637578E-1,6.215124902E-1
1.811087250E0,-4.940209448E-1,-1.650774229E-1,-2.256376201E-1,5.676438892E-1
1.821110250E0,-3.695816341E-1,-1.207235878E-1,-3.118349344E-1,4.984032456E-1
1.831134250E0,-2.685987032E-1,-9.023445122E-2,-2.938980156E-1,4.082444894E-1
1.841158250E0,-1.808693271E-1,-9.452192210E-2,-1.838364601E-1,2.746706233E-1
