"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.501782125E0,-2.437030460E0,-6.764022229E0,-9.416879997E0,1.184773156E1
1.511806125E0,-2.483518310E0,-6.979120243E0,-9.703156167E0,1.220767063E1
1.521829125E0,-2.508878269E0,-7.075327991E0,-9.899078822E0,1.242362660E1
1.531852125E0,-2.533638303E0,-6.973064282E0,-9.896143520E0,1.236837116E1
1.541876125E0,-2.609837463E0,-6.739482635E0,-1.004591293E1,1.237546946E1
1.551899125E0,-2.712899025E0,-6.513735087E0,-1.024554272E1,1.244024564E1
1.561923125E0,-2.803441113E0,-6.345352233E0,-1.035478976E1,1.246372529E1
1.571946125E0,-2.773981671E0,-6.207403552E0,-1.029334254E1,1.233611502E1
1.581969125E0,-2.631175123E0,-6.109741602E0,-1.008739776E1,1.208336122E1
1.591993125E0,-2.437109544E0,-6.059066123E0,-9.726050355E0,1.171528236E1
1.602016125E0,-2.231815849E0,-6.044100759E0,-9.408508539E0,1.140316574E1
1.612040125E0,-2.077395707E0,-6.099080958E0,-9.347712699E0,1.135315349E1
1.622063125E0,-2.009292602E0,-6.200445950E0,-9.175298774E0,1.125472764E1
1.632086125E0,-1.891212613E0,-6.411507046E0,-8.636902360E0,1.092154706E1
1.642110125E0,-1.733259438E0,-6.503380837E0,-7.986143510E0,1.044397620E1
1.652133125E0,-1.445004570E0,-6.343716767E0,-7.272775015E0,9.758280435E0
1.662157125E0,-1.291562668E0,-5.930390541E0,-6.536388370E0,8.919755547E0
1.672180125E0,-1.327632826E0,-5.066466182E0,-5.887808778E0,7.880227199E0
1.682203125E0,-1.399318228E0,-3.646899632E0,-4.793276666E0,6.183321892E0
1.692227125E0,-1.374596200E0,-1.962661788E0,-2.923747575E0,3.780192573E0
1.702250125E0,-1.168443841E0,-1.065222359E-1,2.742192113E-1,1.204908367E0
1.712274125E0,-4.500080024E-1,1.787926519E0,4.138523583E0,4.530625331E0
1.722297125E0,8.188149901E-1,3.331769791E0,7.642278113E0,8.377085573E0
