"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.188854091E0,-3.774235725E0,-1.218933582E0,-7.524085999E0,8.505440876E0
2.208804671E0,-2.022456169E0,-3.826256990E-1,-9.159196854E0,9.387631138E0
2.228764386E0,-1.242969275E0,-3.255982399E-1,-9.734085083E0,9.818523272E0
2.248355409E0,-1.633843422E0,-8.551584482E-1,-9.266970634E0,9.448676364E0
2.273635599E0,-2.490869761E0,-1.477669120E0,-9.568576813E0,9.997279651E0
2.293585752E0,-1.958170056E0,-1.214529157E0,-9.714925766E0,9.984452598E0
2.313536963E0,-4.521943331E-1,-3.039848804E-1,-9.133157730E0,9.149396518E0
2.333499893E0,7.817665339E-1,-2.906990051E-1,-7.495967865E0,7.542227725E0
2.353438287E0,-1.789746284E-1,-1.067305326E0,-5.508975983E0,5.614266555E0
2.373389864E0,-2.377156019E-1,-1.369676948E0,-3.802904606E0,4.049025449E0
2.393353201E0,2.485158443E0,-4.496376514E-1,1.083003998E0,2.747923610E0
2.413309457E0,5.474714279E0,6.281492710E-1,9.290404320E0,1.080179061E1
2.433261035E0,4.375946045E0,1.169986963E0,1.241803265E1,1.321837010E1
2.453199754E0,1.997162580E0,2.266851425E0,1.069009399E1,1.110879757E1
2.473161911E0,-2.266623020E0,2.845268488E0,1.456309605E1,1.501055959E1
2.493093590E0,-1.482670426E0,2.236544847E0,1.693367195E1,1.714496107E1
2.513063193E0,2.046664000E0,3.010255575E0,1.663458252E1,1.702820624E1
2.533012777E0,2.972607136E0,2.312360764E0,1.369279003E1,1.420126418E1
2.552953124E0,2.141330242E0,1.649652004E0,7.445378304E0,7.920877794E0
2.572915809E0,1.927285671E0,2.099412203E0,-1.313740730E0,3.138132623E0
2.592866776E0,7.031084895E-1,1.733652353E0,-6.744826317E0,6.999470985E0
2.612815139E0,-1.992665768E0,-1.760072351E0,-4.625283241E0,5.334961725E0
2.632767978E0,-3.629134893E0,-3.824726105E0,-2.256447315E0,5.735041790E0
2.652714265E0,-1.811207294E0,-3.704695225E0,-3.188751698E0,5.212808836E0
2.672667551E0,1.387782097E-1,-2.748696089E0,-5.480726242E0,6.132939729E0
2.692602080E0,-4.255151749E-1,-1.889660239E0,-9.357483864E0,9.555855966E0
2.712552070E0,-1.770578027E0,-1.904129744E0,-1.008160019E1,1.041149936E1
2.732503851E0,-2.331062317E0,-2.813953876E0,-6.396522045E0,7.366660181E0
2.752453841E0,-2.876455307E0,-3.044556856E0,-3.278852463E0,5.319228803E0
2.772405133E0,-8.972652555E-1,-2.174774408E0,-2.091817856E0,3.148083641E0
2.792355978E0,2.730033994E-1,-1.147575855E0,-3.784059525E0,3.963655848E0
2.812305440E0,-1.093551219E-1,-1.110914588E0,-6.625375748E0,6.718756847E0
