"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.204946210E0,2.828839302E0,-8.714153767E-1,-7.148227692E0,7.736850502E0
2.224247564E0,1.348490477E0,-1.655708313E0,-6.028184891E0,6.395217718E0
2.243553398E0,-7.153232098E-1,-1.424093008E0,-4.305120468E0,4.590619831E0
2.262857512E0,4.331952333E-1,-1.193907499E0,-3.303101063E0,3.538862792E0
2.282160012E0,3.677973747E0,-1.160510659E0,-3.097937584E0,4.946867003E0
2.301399075E0,1.544520140E0,-1.884773135E0,1.963319778E-1,2.444679627E0
2.320676731E0,-2.018068314E0,-3.679126740E0,9.835818291E0,1.069354454E1
2.339992825E0,6.959464550E-1,-3.319992065E0,1.561121464E1,1.597550347E1
2.359310168E0,-1.001398802E0,-3.009812534E-1,1.993369293E1,1.996109975E1
2.378537200E0,-2.212062359E0,-2.674535036E0,2.729191971E1,2.751172912E1
2.397838554E0,-2.869863987E0,-6.080181599E0,3.022496796E1,3.096374356E1
2.417126418E0,-3.745425701E0,-4.361812592E0,2.800176811E1,2.858588183E1
2.436400846E0,2.398300171E-2,-1.512438536E0,2.360470963E1,2.365312584E1
2.455749856E0,1.262954712E0,8.835899830E-2,1.525032806E1,1.530278955E1
2.474990064E0,3.624755383E0,1.511182070E0,4.649216652E0,6.085863809E0
2.494267564E0,5.033326149E0,2.842456341E0,-3.677230358E0,6.850981921E0
2.513614648E0,8.169674873E-1,1.390048862E0,-5.824621677E0,6.043665229E0
2.532901158E0,-4.043789387E0,-1.082496643E0,-7.526767254E0,8.612563897E0
2.552128189E0,-5.521362305E0,-1.758465648E0,-1.158133888E1,1.295009859E1
2.571429491E0,-4.518610477E0,2.209581435E-1,-1.508090591E1,1.574485269E1
2.590766210E0,-4.218533993E0,2.087959528E0,-1.535086060E1,1.605629238E1
2.610009804E0,-3.092612028E0,9.554532766E-1,-1.388341808E1,1.425575104E1
2.629341939E0,1.171603322E0,-1.599999070E0,-1.659719849E1,1.671525199E1
2.648581054E0,2.847534657E0,-2.649644852E0,-1.736614990E1,1.779641070E1
2.667873450E0,1.360629797E0,-2.357588291E0,-1.280238152E1,1.308856403E1
2.687204231E0,1.644695997E-1,-2.025188923E0,-9.886617661E0,1.009324770E1
2.706492408E0,5.135552883E-1,-1.258204341E0,-1.154637337E1,1.162607221E1
2.725719179E0,2.176806211E0,-1.392762542E0,-1.446442413E1,1.469346243E1
2.745020481E0,2.243890285E0,-1.426849365E0,-1.409227562E1,1.434096143E1
2.764356002E0,1.424904823E0,-7.068718076E-1,-1.041152573E1,1.053232593E1
2.783631575E0,1.129984379E0,-3.386524320E-1,-6.512633324E0,6.618605818E0
2.802932981E0,1.335939288E0,-5.613265038E-1,-4.302891731E0,4.540341229E0
2.822171991E0,1.506861687E0,-5.887905359E-1,-1.434881210E0,2.162450121E0
2.841555325E0,-1.519854069E-1,-5.874716043E-1,1.073572159E0,1.233198942E0
2.860796523E0,-7.225639224E-1,-3.111412525E-1,3.557186127E0,3.643141589E0
2.880083346E0,-1.047953367E0,-5.736384392E-1,9.102820396E0,9.180882664E0
2.899310116E0,-2.499723911E0,-2.401838541E0,1.224303341E1,1.272435912E1
2.918611418E0,-2.397766352E0,-7.937622070E0,1.316640377E1,1.555986233E1
2.937946991E0,-4.000924587E0,-1.857789040E1,1.907984161E1,2.692927339E1
2.957221471E0,-2.398609161E0,-1.821038055E1,3.194241333E1,3.684683236E1
2.976522773E0,5.796210289E0,-1.408966446E1,3.359149170E1,3.688499712E1
2.995762929E0,6.983469963E0,-6.432475567E0,2.291659927E1,2.480556625E1
3.015037408E0,2.728663683E0,2.894139290E-1,1.176630306E1,1.208202192E1
3.034386418E0,1.173583418E-2,2.830509186E0,1.134713173E0,3.049507168E0
