"time","x","y","z","abs"
3.193295450E-1,-2.418251991E0,1.220391035E0,5.940636635E0,6.529047450E0
3.243197530E-1,-1.874169707E-1,1.361877680E0,5.255229950E0,5.432060177E0
3.293099620E-1,2.459403872E-1,9.535896778E-1,3.728801727E0,3.856654284E0
3.343002220E-1,-5.973834991E-1,1.068295479E0,1.257099152E0,1.754542833E0
3.392904820E-1,-1.441941500E0,4.672350883E-1,4.465103149E-2,1.516409454E0
3.442807430E-1,-7.125481963E-1,3.784947395E-1,-2.553825378E-1,8.462880364E-1
3.492710030E-1,1.314162016E-1,6.662094593E-1,4.377937317E-2,6.804571223E-1
3.542612640E-1,4.199047089E-1,5.555374622E-1,1.021609306E0,1.236376727E0
3.592515240E-1,3.496465683E-1,3.522603512E-1,1.328698158E0,1.418371909E0
3.642417850E-1,-2.223778367E-1,1.532433033E-1,9.544620514E-1,9.919340804E-1
3.692320450E-1,-5.454369783E-1,2.035615444E-1,8.322238922E-1,1.015645315E0
3.742223050E-1,-5.489298105E-1,5.584962368E-1,8.828639984E-1,1.180123224E0
3.792125660E-1,-6.215779185E-1,9.161305428E-1,7.141876221E-1,1.317466599E0
3.842028260E-1,-8.782165051E-1,1.123089790E0,4.708271027E-1,1.501423680E0
3.891930870E-1,-1.110758901E0,1.198557377E0,2.101659775E-1,1.647572414E0
3.941833470E-1,-1.207954764E0,1.237199545E0,-7.748985291E-2,1.730844333E0
3.991736070E-1,-1.197061658E0,1.285192728E0,-4.182929993E-1,1.805448973E0
4.041638680E-1,-1.048182726E0,1.291211843E0,-7.529802322E-1,1.825621615E0
4.091541280E-1,-9.604542255E-1,1.221298933E0,-9.025774002E-1,1.796855411E0
