"time","x","y","z","abs"
3.983684339E0,5.525590181E-1,-1.037773991E1,-3.842913151E0,1.108019804E1
3.988674495E0,-5.210697174E0,-1.150306416E1,-4.145233631E-1,1.263501799E1
3.993664652E0,-9.476694107E0,-1.358632946E1,2.553723097E0,1.676059608E1
3.998654808E0,-1.086423874E1,-1.573700428E1,4.476469040E0,1.963985138E1
4.003644964E0,-1.000315666E1,-1.747645187E1,5.096232414E0,2.077164168E1
4.008635120E0,-7.374996185E0,-1.973852921E1,4.620613575E0,2.157197658E1
4.013625277E0,-3.847944975E0,-2.251631737E1,4.144836426E0,2.321574675E1
4.018615433E0,-6.761731505E-1,-2.514581680E1,4.335173607E0,2.552573296E1
4.023605589E0,1.267077327E0,-2.763640213E1,5.359056950E0,2.817970367E1
4.028595745E0,2.190704823E0,-2.940615845E1,7.345688820E0,3.038882174E1
4.033585902E0,2.819613934E0,-2.975104904E1,9.354861259E0,3.131435088E1
4.038576058E0,3.034466743E0,-2.820445633E1,1.057326317E1,3.027363935E1
4.043566214E0,2.135930538E0,-2.519706345E1,1.037217045E1,2.733196161E1
4.048556370E0,9.187402725E-1,-2.220595932E1,9.296722412E0,2.409103071E1
4.053546527E0,-3.556426167E-1,-1.986861038E1,7.782845020E0,2.134152846E1
4.058536683E0,-1.286416531E0,-1.806081963E1,6.270987511E0,1.916176812E1
4.063526839E0,-1.754361391E0,-1.672341156E1,4.862938404E0,1.750424086E1
4.068516995E0,-2.001950502E0,-1.588131428E1,3.822266817E0,1.645702502E1
4.073507152E0,-1.883518219E0,-1.534920311E1,3.164947748E0,1.578488426E1
4.078497308E0,-1.475973606E0,-1.500451851E1,2.865433931E0,1.534681678E1
4.083487464E0,-7.987685204E-1,-1.467499828E1,2.892366648E0,1.497863113E1
4.088477620E0,-3.155750036E-2,-1.434445477E1,3.146441936E0,1.468551924E1
4.093467777E0,6.827930212E-1,-1.404723167E1,3.575633764E0,1.451123981E1
4.098457933E0,1.397383213E0,-1.383204174E1,3.744925022E0,1.439800410E1
4.103448089E0,1.843554258E0,-1.370416546E1,3.486093760E0,1.426028376E1
4.108438245E0,1.919762135E0,-1.356087303E1,2.572187662E0,1.393552702E1
4.113428402E0,1.530505419E0,-1.332542229E1,1.131681681E0,1.346068458E1
4.118418558E0,6.662259102E-1,-1.297829342E1,-4.933984280E-1,1.300474525E1
4.123408714E0,-6.505465508E-1,-1.256697941E1,-2.262480021E0,1.278557774E1
4.128398870E0,-2.104661465E0,-1.192383671E1,-3.972771168E0,1.274324890E1
4.133389027E0,-3.223272324E0,-1.102054214E1,-5.418130875E0,1.269637648E1
4.138379183E0,-4.153854370E0,-9.821900368E0,-6.267278671E0,1.236943875E1
4.143369339E0,-4.597761154E0,-8.283530235E0,-6.432398796E0,1.145128967E1
4.148359495E0,-4.851959229E0,-6.409119606E0,-5.709823132E0,9.860040703E0
4.153349652E0,-4.867237091E0,-4.379541397E0,-4.279735565E0,7.822181042E0
