"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.718476208E0,-1.758243713E0,2.959944763E0,1.008393036E1,1.065543737E1
1.728500208E0,-1.708247681E0,3.095113678E0,1.012210098E1,1.072169609E1
1.738525208E0,-1.614243164E0,3.102897491E0,1.017015106E1,1.075480016E1
1.748549208E0,-1.518442383E0,3.045267334E0,1.027568161E1,1.082446086E1
1.758573208E0,-1.473685455E0,3.111429749E0,1.019155655E1,1.075734952E1
1.768597208E0,-1.506317596E0,3.282074890E0,1.006357269E1,1.069188962E1
1.778621208E0,-1.569037170E0,3.428919525E0,1.000773880E1,1.069458754E1
1.788646208E0,-1.558109894E0,3.508104858E0,9.898615723E0,1.061683095E1
1.798670208E0,-1.510508881E0,3.457210693E0,9.881251831E0,1.057700717E1
1.808694208E0,-1.419198761E0,3.428320770E0,9.984237671E0,1.065140884E1
1.818718208E0,-1.408720551E0,3.539090424E0,1.007435028E1,1.077043120E1
1.828742208E0,-1.422940979E0,3.530558167E0,1.021655457E1,1.090264139E1
1.838767208E0,-1.464255066E0,3.401676178E0,1.035950729E1,1.100158330E1
1.848791208E0,-1.460662537E0,3.347189484E0,1.041384430E1,1.103564070E1
1.858815208E0,-1.346599731E0,3.276386719E0,1.041728714E1,1.100308648E1
1.868839208E0,-1.196911011E0,3.177292786E0,1.038764877E1,1.092845060E1
1.878863208E0,-1.008602600E0,3.089126129E0,1.032058823E1,1.082009800E1
1.888887208E0,-8.295748901E-1,3.067720642E0,1.021550674E1,1.069839626E1
1.898912208E0,-7.237449646E-1,3.126697998E0,1.001642075E1,1.051801938E1
1.908936208E0,-6.408174133E-1,3.058290253E0,9.931696930E0,1.041164685E1
1.918960208E0,-5.867797852E-1,2.976560211E0,1.000833755E1,1.045806109E1
1.928984208E0,-5.574407959E-1,2.976111145E0,1.004366409E1,1.049014615E1
1.939008208E0,-6.457571411E-1,2.956052856E0,1.022583527E1,1.066409666E1
1.949033208E0,-7.679031372E-1,2.978805542E0,1.029633865E1,1.074604799E1
1.959057208E0,-8.199948120E-1,2.950214996E0,1.038944504E1,1.083128470E1
1.969081208E0,-7.920030212E-1,2.866389313E0,1.034932846E1,1.076810364E1
1.979105208E0,-7.162605286E-1,2.731819153E0,1.027747787E1,1.065844344E1
1.989129208E0,-6.575825500E-1,2.646197205E0,1.027178970E1,1.062753208E1
1.999154208E0,-6.506968689E-1,2.537972260E0,1.038375687E1,1.070920708E1
2.009178208E0,-5.800437927E-1,2.367027740E0,1.057206528E1,1.084932419E1
2.019202208E0,-4.111949158E-1,2.171234894E0,1.068642746E1,1.091251914E1
2.029226208E0,-2.306703186E-1,2.015109558E0,1.071606583E1,1.090632578E1
2.039250208E0,-7.050338745E-2,1.911824341E0,1.064271835E1,1.081330185E1
2.049275208E0,1.975891113E-2,1.840722198E0,1.048075516E1,1.064118778E1
2.059299208E0,-8.831634521E-3,1.802401886E0,1.030262558E1,1.045910247E1
2.069323208E0,-1.857637024E-1,1.750459900E0,1.014171021E1,1.029334270E1
2.079347208E0,-3.188369751E-1,1.781894531E0,9.939480743E0,1.010297395E1
2.089371208E0,-3.945794678E-1,1.825453949E0,9.810149689E0,9.986341272E0
2.099396208E0,-4.670288086E-1,1.860032043E0,9.802216187E0,9.988056732E0
2.109420208E0,-4.426295471E-1,1.837129669E0,9.761351166E0,9.942582306E0
2.119444208E0,-3.501219177E-1,1.688339081E0,9.771380310E0,9.922345860E0
2.129468208E0,-2.222877502E-1,1.537303162E0,9.744586029E0,9.867607093E0
2.139492208E0,-1.188528442E-1,1.399290161E0,9.659413147E0,9.760963134E0
2.149517208E0,-9.954299927E-2,1.291663971E0,9.567504272E0,9.654814479E0
2.159541208E0,-1.914518738E-1,1.255588989E0,9.467661896E0,9.552475035E0
2.169565208E0,-2.655477905E-1,1.329984283E0,9.320068817E0,9.418230013E0
2.179589208E0,-2.799179077E-1,1.485061798E0,9.026080170E0,9.151714911E0
2.189613208E0,-3.064128113E-1,1.557660828E0,8.681796112E0,8.825745283E0
2.199638208E0,-3.950285339E-1,1.752854919E0,8.371192017E0,8.561857491E0
2.209662208E0,-5.095404053E-1,2.025138702E0,8.016579437E0,8.284103093E0
2.219686208E0,-6.471043396E-1,2.151026917E0,7.846682739E0,8.161868097E0
2.229710208E0,-8.174501038E-1,2.271526337E0,7.683671722E0,8.053997002E0
2.239734208E0,-9.421408081E-1,2.421664124E0,7.605983276E0,8.037603376E0
2.249759208E0,-1.034947815E0,2.646346893E0,7.599247284E0,8.113126903E0
2.259783208E0,-1.333726501E0,2.508932648E0,7.548802185E0,8.065852952E0
2.269807208E0,-1.411864014E0,2.419269104E0,7.679929504E0,8.174811324E0
2.279831208E0,-1.229692841E0,2.801723785E0,7.845634918E0,8.421151223E0
2.289855208E0,-9.704319763E-1,2.843486938E0,7.890541534E0,8.443210402E0
2.299880208E0,-7.415579224E-1,2.691253510E0,8.027506714E0,8.499036277E0
2.309904208E0,-5.478607178E-1,2.719095612E0,8.319549408E0,8.769751117E0
