"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.876400417E-1,2.584226074E0,2.248025208E0,1.009889923E1,1.066393958E1
8.976640417E-1,2.631976776E0,1.476080475E0,9.816436615E0,1.026978788E1
9.076880417E-1,2.472109222E0,7.467970276E-1,9.515412598E0,9.859620008E0
9.177120417E-1,2.370470581E0,7.792794800E-1,9.546098785E0,9.866833803E0
9.277360417E-1,1.988315277E0,8.337661743E-1,9.378746796E0,9.623380650E0
9.377610417E-1,1.794468384E0,8.443940735E-1,9.058113556E0,9.272677031E0
9.477850417E-1,1.821112976E0,1.094224548E0,8.862769775E0,9.113861307E0
9.578090417E-1,1.662592621E0,1.246158600E0,8.671766968E0,8.917211886E0
9.678330417E-1,1.545236664E0,1.464853821E0,8.522976379E0,8.784912033E0
9.778570417E-1,1.605710907E0,1.673070831E0,8.372988281E0,8.688176234E0
9.878810417E-1,1.647174683E0,1.652563477E0,8.152646484E0,8.479964338E0
9.979050417E-1,1.591939545E0,1.505718842E0,7.880063324E0,8.179049990E0
1.007929042E0,1.779948578E0,8.907975769E-1,6.592590637E0,6.886507720E0
1.017954042E0,1.807491302E0,1.442400513E0,7.949369202E0,8.278889705E0
1.027978042E0,1.844763794E0,1.983674927E0,7.866291962E0,8.319655576E0
1.038002042E0,2.936892700E0,1.023272095E0,6.587052155E0,7.284344898E0
1.048026042E0,3.338956604E0,-5.837860107E-3,7.242539063E0,7.975151243E0
1.058050042E0,3.634292450E0,2.829116821E-2,6.119424591E0,7.117319673E0
1.068074042E0,3.776945801E0,3.635939026E-1,5.985602875E0,7.086957167E0
1.078098042E0,3.829336853E0,4.031117249E-1,5.457052002E0,6.678752604E0
1.088122042E0,3.683689728E0,4.676275635E-1,4.631818085E0,5.936495963E0
1.098147042E0,3.631148987E0,5.246589661E-1,4.115092621E0,5.513120466E0
1.108171042E0,3.751498718E0,6.448590088E-1,3.715723114E0,5.319415761E0
1.118195042E0,3.939208374E0,6.860234070E-1,3.351081390E0,5.217062125E0
1.128219042E0,4.032763824E0,6.165678406E-1,3.002755737E0,5.065558408E0
1.138243042E0,4.519252167E0,4.326004028E-1,2.757565613E0,5.311774785E0
1.148267042E0,5.131628723E0,2.017803955E-1,2.750380554E0,5.825712134E0
1.158291042E0,5.391188965E0,-1.023870850E-1,2.822380829E0,6.086151092E0
1.168315042E0,5.449567566E0,-5.111869812E-1,2.815345459E0,6.155101042E0
1.178340042E0,5.538482666E0,-9.092092896E-1,3.043022003E0,6.384468238E0
1.188364042E0,5.839356995E0,-1.279539185E0,3.758085022E0,7.061056130E0
1.198388042E0,6.306535492E0,-1.719174957E0,4.233496399E0,7.787839508E0
1.208412042E0,6.734794922E0,-2.054328003E0,4.221221924E0,8.209533526E0
1.218436042E0,7.013814697E0,-2.222428436E0,3.952830048E0,8.352104534E0
1.228460042E0,7.280709686E0,-2.275118866E0,3.686384125E0,8.471973047E0
1.238484042E0,7.659422150E0,-2.255958710E0,3.573219452E0,8.747799416E0
1.248509042E0,8.132588196E0,-2.290985870E0,3.472628632E0,9.134919629E0
1.258533042E0,8.692573700E0,-2.395618286E0,3.310515747E0,9.605172513E0
1.268557042E0,9.240434418E0,-2.586621094E0,3.247945862E0,1.013041901E1
1.278581042E0,9.722581787E0,-2.977458344E0,3.386108551E0,1.071725645E1
1.288605042E0,1.004935226E1,-3.475472717E0,3.749852142E0,1.127518437E1
