"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.050891311E0,1.849476242E1,3.517898798E0,1.852740860E1,2.641394931E1
2.070839839E0,1.427825928E1,5.549077034E0,1.520560837E1,2.158405592E1
2.090788895E0,6.846729755E0,3.832105160E0,8.968568802E0,1.191628989E1
2.110736975E0,4.876229763E0,4.617012501E0,-3.558807373E-1,6.724661496E0
2.130685910E0,4.081024170E0,4.155220509E0,-1.111382484E0,5.929231550E0
2.150607907E0,2.556967735E-1,2.642797232E0,3.870105743E-1,2.683194967E0
2.170583494E0,-4.310436249E0,1.501254797E0,5.436005592E-1,4.596643143E0
2.190531981E0,-7.499000549E0,-1.190543175E-1,-8.813323975E-1,7.551551494E0
2.210478148E0,-9.378261566E0,-9.813330173E-1,-3.549414158E0,1.007537321E1
2.230428914E0,-1.004901695E1,-1.502926826E0,-5.419505119E0,1.151575297E1
2.250375244E0,-1.019811344E1,-1.921066284E0,-4.602082729E0,1.135214424E1
2.270325155E0,-1.112775517E1,-2.869991779E0,-2.943463326E0,1.186287335E1
2.290274618E0,-1.159918499E1,-3.220993996E0,-2.074765682E0,1.221558625E1
2.310223268E0,-1.023292732E1,-3.241838694E0,-1.968079805E0,1.091309570E1
2.330171592E0,-8.543256760E0,-3.379801035E0,-1.971151114E0,9.396580645E0
2.350120892E0,-8.278964996E0,-3.282552004E0,-2.665949583E0,9.296434599E0
2.370069094E0,-9.358652115E0,-3.939720154E0,-3.752069473E0,1.082514617E1
2.390018070E0,-1.177106571E1,-4.278818607E0,-5.789541245E0,1.379800944E1
2.409966963E0,-1.021358299E1,-3.194858313E0,-6.937135696E0,1.275336226E1
2.429915206E0,-6.859477043E0,-1.432369947E0,-5.053670883E0,8.639658464E0
2.449863530E0,-6.549500465E0,-2.119305611E0,-3.846238613E0,7.885490732E0
2.469810186E0,-7.307476044E0,-1.796258688E0,-4.420210838E0,8.727199738E0
2.489760748E0,-4.374081612E0,1.039855719E0,-3.621606827E0,5.773207589E0
2.509709235E0,1.780139923E0,3.764883757E0,-1.604371071E-1,4.167611776E0
2.529657762E0,8.120759010E0,5.909811974E0,4.946554184E0,1.119557961E1
2.549606859E0,9.977725983E0,4.706862450E0,8.960346222E0,1.421257803E1
2.569550789E0,1.530146599E1,1.196329832E0,1.114644814E1,1.896864182E1
2.589485034E0,2.389676285E1,2.482775688E0,1.355402946E1,2.758498078E1
