"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.949141667E-1,-1.182231503E0,3.835197517E-1,-1.403297843E0,1.874567567E0
1.004896167E0,-1.297935841E0,1.964839876E-1,-1.127152559E0,1.730235907E0
1.014877167E0,-1.497551158E0,1.319932920E-1,-7.831561840E-1,1.695115132E0
1.024858167E0,-1.166185354E0,9.216995269E-2,-5.690557051E-1,1.300887380E0
1.034840167E0,-7.274144579E-1,-1.571123457E-1,-5.195227718E-1,9.075902121E-1
1.044821167E0,-5.715141669E-1,-2.105098499E-1,-7.790181094E-1,9.888437969E-1
1.054803167E0,-4.087637166E-1,-3.400310853E-1,-1.175033069E0,1.289733161E0
1.064784167E0,-2.622595357E-1,-3.819050431E-1,-1.330299448E0,1.408661829E0
1.074766083E0,-1.391022637E-1,-2.027812926E-1,-1.327456532E0,1.350040939E0
1.084747083E0,-2.462166946E-1,-1.099118668E-1,-1.122562494E0,1.154491157E0
1.094729083E0,-5.210450579E-1,-1.702152251E-1,-7.331917262E-1,9.154404855E-1
1.104710083E0,-7.740146470E-1,-3.269616812E-2,-3.705900961E-1,8.587809572E-1
1.114692083E0,-1.066163760E0,1.650835624E-1,-3.049755657E-1,1.121145772E0
1.124673083E0,-1.508156400E0,3.652238140E-1,-1.965407056E-1,1.564145904E0
1.134654083E0,-1.547522340E0,7.108910304E-1,3.301378888E-1,1.734699535E0
1.144636083E0,-1.654628713E0,7.119514230E-1,1.233995807E0,2.183441471E0
1.154617083E0,-2.142726502E0,7.618784586E-1,3.077154540E0,3.826305752E0
1.164599083E0,-2.339762905E0,1.001639736E0,5.156064822E0,5.750024092E0
1.174580083E0,-2.355377456E0,9.579736063E-1,7.271371683E0,7.703139785E0
1.184562083E0,-2.234658765E0,7.567676997E-1,9.171335531E0,9.469941530E0
1.194543083E0,-2.092622880E0,3.268532154E-1,1.075917852E1,1.096566578E1
1.204525083E0,-1.806315427E0,1.448062956E-2,1.230077120E1,1.243269710E1
1.214506083E0,-1.226711491E0,-7.157488972E-2,1.322356006E1,1.328053029E1
1.224488083E0,-8.538062634E-1,1.552660874E-1,1.320029750E1,1.322879234E1
1.234469083E0,-5.024858858E-1,3.973951945E-1,1.209227937E1,1.210923760E1
1.244450083E0,-1.646608453E-1,5.828478250E-1,1.054664509E1,1.056402137E1
1.254432083E0,4.857154135E-1,1.052576293E0,9.234900028E0,9.307374219E0
1.264413083E0,1.043085531E0,1.587227274E0,8.226376950E0,8.442783639E0
1.274395083E0,1.193223026E0,1.757365754E0,7.643766814E0,7.933428433E0
1.284376083E0,1.072960783E0,1.861076064E0,7.633801405E0,7.930307235E0
1.294358083E0,1.090005417E0,1.949338322E0,8.107403069E0,8.409400467E0
1.304339083E0,1.210136901E0,1.922651922E0,8.368837928E0,8.671705138E0
1.314321083E0,1.214874096E0,1.941182334E0,8.255853349E0,8.567568059E0
1.324302083E0,1.162173068E0,2.057785462E0,8.062145619E0,8.401387935E0
1.334284083E0,9.617156050E-1,2.013997710E0,7.656049476E0,7.974721140E0
1.344265083E0,6.452269448E-1,1.971757717E0,7.153366100E0,7.448140229E0
1.354247083E0,4.443187346E-1,1.934432893E0,6.560038018E0,6.853725159E0
1.364228083E0,3.567125338E-1,1.803709616E0,6.082744423E0,6.354556784E0
1.374209083E0,2.991201091E-1,1.666865766E0,5.799133998E0,6.041346659E0
1.384191083E0,5.032971504E-1,1.463660404E0,5.563415778E0,5.774703882E0
1.394172083E0,8.352116060E-1,1.258689768E0,5.178963103E0,5.394769428E0
1.404154083E0,1.074199735E0,1.027398475E0,4.664769484E0,4.895868364E0
1.414135083E0,1.136872751E0,6.890394008E-1,4.020642546E0,4.234716216E0
1.424117083E0,1.013390446E0,2.346320996E-1,3.166519876E0,3.332995731E0
1.434098083E0,1.023593838E0,-3.835998586E-1,2.117605401E0,2.383095850E0
1.444080083E0,9.055337298E-1,-1.023757121E0,9.694426274E-1,1.675675681E0
1.454061083E0,6.738017761E-1,-1.661554740E0,-1.220278823E-1,1.797126538E0
1.464042083E0,7.339188275E-1,-2.242016609E0,-1.308724977E0,2.697783606E0
1.474024083E0,9.272592788E-1,-2.749409332E0,-2.970159264E0,4.152217179E0
1.484005083E0,6.918536657E-1,-3.298212621E0,-4.796118997E0,5.861708405E0
1.493987083E0,1.238529299E0,-3.642338219E0,-6.752341831E0,7.771402880E0
1.503968083E0,1.780181882E0,-4.050173909E0,-8.883337941E0,9.924043994E0
1.513950083E0,1.636234688E0,-4.567778209E0,-1.077922628E1,1.182089594E1
