"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.153975167E0,2.231999451E0,-1.164169819E0,-1.929002876E0,3.171461022E0
1.163957167E0,1.596764667E0,-8.464813833E-1,-2.431938266E0,3.029935951E0
1.173939167E0,9.319467723E-1,-1.476930660E-1,-2.005058194E0,2.215986550E0
1.183921167E0,3.830777022E-1,-9.963143840E-2,-1.473093132E0,1.525345314E0
1.193902167E0,2.453874680E-1,-3.626368596E-1,-8.637577128E-1,9.683996530E-1
1.203884167E0,5.610304016E-1,-3.786911210E-1,-3.309781337E-1,7.534643997E-1
1.213866167E0,1.016564754E0,-5.534449549E-1,2.746881580E-1,1.189604472E0
1.223848167E0,1.497978297E0,-6.386334783E-1,7.908353323E-1,1.810307218E0
1.233830167E0,1.706085965E0,-7.989468091E-1,1.158845052E0,2.211779189E0
1.243812167E0,1.659863141E0,-1.104524565E0,1.421813636E0,2.448810767E0
1.253793167E0,1.678675972E0,-1.397609087E0,1.193692703E0,2.489210005E0
1.263775167E0,1.614790463E0,-1.526580245E0,8.532210302E-1,2.380332248E0
1.273757167E0,1.299004273E0,-1.520581440E0,4.778636992E-1,2.056193992E0
1.283739167E0,8.364979935E-1,-1.696647536E0,1.537086815E-1,1.897885168E0
1.293721167E0,5.849800122E-1,-1.736648192E0,2.339231247E-1,1.847395081E0
1.303702167E0,3.039827085E-1,-1.377778986E0,6.925793052E-2,1.412613564E0
1.313684167E0,-1.815192086E-1,-8.881632601E-1,1.980586427E-1,9.279064746E-1
1.323666167E0,-5.704014418E-1,-5.424460499E-1,-3.488098025E-2,7.879227149E-1
1.333648167E0,-8.311141697E-1,-2.616881897E-1,-3.277405304E-1,9.309378749E-1
1.343630167E0,-8.591661867E-1,5.933856770E-2,-4.950539285E-1,9.933609587E-1
1.353611167E0,-9.168893149E-1,3.555475491E-1,-6.309250939E-1,1.168403419E0
1.363593167E0,-9.057044685E-1,5.446617061E-1,-8.279283142E-1,1.342543203E0
